"","Method","RMSE"
"1","Mean Only","1.05990428951531"
"2","Mean + Movie","0.9437429136878"
"3","Mean + Movie (Regularised)","0.943674496527075"
"4","Mean + Movie + User","0.865931962476235"
"5","Mean + Movie + User (Regularised)","0.86526662010387"
"6","Mean + Movie + Years Since Release","0.865498053223701"
"7","Mean + Movie + User + Years Since Release (Regularised)","0.86479165104668"
"8","Mean + Movie + User + Years Since Release + Genre","0.865160497858356"
"9","Mean + Movie +User + Years Since Release + Genres (Regularised)","0.864492967122359"
"10","Mean + Movie + User + Years Since Release +Genre + Day","0.865161321526398"
"11","Mean + Movie + User + Years Since Release + Genres + Day (Regularised)","0.864493737341823"
"12","Final Estimate - Top & Tailed","0.864366780377978"
"13","Final Estimate - Rounded to nearest 0.5","0.876522840526975"
