"","userId","movieId","rating","timestamp","title","genres","pred_mean","movie_reg_predictor","user_reg_predictor","year","years_since_release","years_since_predictor","genre_reg_predictor","day","day_predictor"
"1",1,122,5,838985046,"Boomerang (1992)","Comedy|Romance",3.51246520160155,-0.653159607910552,1.33486837602431,1992,4,-0.0120037364356973,-0.0133465430993332,6,-0.000984941647502261
"2",1,185,5,838983525,"Net, The (1995)","Action|Crime|Thriller",3.51246520160155,-0.383062918506705,1.33486837602431,1995,1,0.0330418333268681,-0.0212354965439263,6,-0.000984941647502261
"3",1,292,5,838983421,"Outbreak (1995)","Action|Drama|Sci-Fi|Thriller",3.51246520160155,-0.094438853345989,1.33486837602431,1995,1,0.0330418333268681,-0.0515269579881675,6,-0.000984941647502261
"4",1,316,5,838983392,"Stargate (1994)","Action|Adventure|Sci-Fi",3.51246520160155,-0.162765222944173,1.33486837602431,1994,2,-0.00569846567841082,-0.0265173214916749,6,-0.000984941647502261
"5",1,329,5,838983392,"Star Trek: Generations (1994)","Action|Adventure|Drama|Sci-Fi",3.51246520160155,-0.174979294363988,1.33486837602431,1994,2,-0.00569846567841082,-0.0352112380517565,6,-0.000984941647502261
"6",1,355,5,838984474,"Flintstones, The (1994)","Children|Comedy|Fantasy",3.51246520160155,-1.02416919537739,1.33486837602431,1994,2,-0.00569846567841082,-0.0358472000097842,6,-0.000984941647502261
"7",1,356,5,838983653,"Forrest Gump (1994)","Comedy|Drama|Romance|War",3.51246520160155,0.500318325410875,1.33486837602431,1994,2,-0.00569846567841082,-0.0130521820686566,6,-0.000984941647502261
"8",1,362,5,838984885,"Jungle Book, The (1994)","Adventure|Children|Romance",3.51246520160155,-0.0574159772534262,1.33486837602431,1994,2,-0.00569846567841082,-0.0657861773821095,6,-0.000984941647502261
"9",1,364,5,838983707,"Lion King, The (1994)","Adventure|Animation|Children|Drama|Musical",3.51246520160155,0.239552401814534,1.33486837602431,1994,2,-0.00569846567841082,-0.0329255972624894,6,-0.000984941647502261
"10",1,370,5,838984596,"Naked Gun 33 1/3: The Final Insult (1994)","Action|Comedy",3.51246520160155,-0.555251642204289,1.33486837602431,1994,2,-0.00569846567841082,0.0101279607372733,6,-0.000984941647502261
